제품도번,측정특성,측정순번,측정값
P-3003,도막두께μm,1,31.3
P-3003,도막두께μm,2,29.8
P-3003,도막두께μm,3,28.3
P-3003,도막두께μm,4,31.2
P-3003,도막두께μm,5,28.7
P-3003,도막두께μm,6,29.0
P-3003,도막두께μm,7,30.9
P-3003,도막두께μm,8,27.6
P-3003,도막두께μm,9,29.4
P-3003,도막두께μm,10,32.3
P-3003,도막두께μm,11,30.1
P-3003,도막두께μm,12,31.0
P-3003,도막두께μm,13,28.4
P-3003,도막두께μm,14,29.1
P-3003,도막두께μm,15,29.9
P-3003,도막두께μm,16,30.0
P-3003,도막두께μm,17,30.0
P-3003,도막두께μm,18,30.4
P-3003,도막두께μm,19,29.2
P-3003,도막두께μm,20,29.9
P-3003,도막두께μm,21,30.9
P-3003,도막두께μm,22,31.5
P-3003,도막두께μm,23,30.8
P-3003,도막두께μm,24,27.9
P-3003,도막두께μm,25,29.4
P-3003,도막두께μm,26,29.1
P-3003,도막두께μm,27,29.5
P-3003,도막두께μm,28,30.4
P-3003,도막두께μm,29,27.8
P-3003,도막두께μm,30,29.3
P-3004,도막두께μm,1,34.6
P-3004,도막두께μm,2,32.6
P-3004,도막두께μm,3,35.1
P-3004,도막두께μm,4,35.1
P-3004,도막두께μm,5,34.1
P-3004,도막두께μm,6,33.5
P-3004,도막두께μm,7,32.9
P-3004,도막두께μm,8,34.1
P-3004,도막두께μm,9,34.1
P-3004,도막두께μm,10,34.9
P-3004,도막두께μm,11,33.8
P-3004,도막두께μm,12,34.0
P-3004,도막두께μm,13,34.7
P-3004,도막두께μm,14,34.1
P-3004,도막두께μm,15,34.4
P-3004,도막두께μm,16,34.3
P-3004,도막두께μm,17,33.6
P-3004,도막두께μm,18,34.4
P-3004,도막두께μm,19,35.0
P-3004,도막두께μm,20,33.5
P-3004,도막두께μm,21,34.1
P-3004,도막두께μm,22,33.9
P-3004,도막두께μm,23,34.0
P-3004,도막두께μm,24,34.2
P-3004,도막두께μm,25,33.7
P-3004,도막두께μm,26,34.8
P-3004,도막두께μm,27,34.3
P-3004,도막두께μm,28,34.2
P-3004,도막두께μm,29,33.3
P-3004,도막두께μm,30,34.4
P-3005,도막두께μm,1,33.3
P-3005,도막두께μm,2,40.2
P-3005,도막두께μm,3,36.5
P-3005,도막두께μm,4,34.7
P-3005,도막두께μm,5,32.0
P-3005,도막두께μm,6,38.2
P-3005,도막두께μm,7,35.8
P-3005,도막두께μm,8,35.3
P-3005,도막두께μm,9,37.2
P-3005,도막두께μm,10,33.2
P-3005,도막두께μm,11,35.6
P-3005,도막두께μm,12,33.2
P-3005,도막두께μm,13,36.3
P-3005,도막두께μm,14,33.7
P-3005,도막두께μm,15,35.2
P-3005,도막두께μm,16,33.8
P-3005,도막두께μm,17,36.2
P-3005,도막두께μm,18,34.6
P-3005,도막두께μm,19,38.2
P-3005,도막두께μm,20,34.4
P-3005,도막두께μm,21,34.0
P-3005,도막두께μm,22,34.3
P-3005,도막두께μm,23,34.3
P-3005,도막두께μm,24,35.5
P-3005,도막두께μm,25,35.6
P-3005,도막두께μm,26,32.8
P-3005,도막두께μm,27,33.2
P-3005,도막두께μm,28,36.2
P-3005,도막두께μm,29,34.5
P-3005,도막두께μm,30,36.2
P-3006,도막두께μm,1,32.6
P-3006,도막두께μm,2,38.0
P-3006,도막두께μm,3,33.2
P-3006,도막두께μm,4,35.7
P-3006,도막두께μm,5,34.1
P-3006,도막두께μm,6,39.4
P-3006,도막두께μm,7,37.3
P-3006,도막두께μm,8,34.1
P-3006,도막두께μm,9,37.5
P-3006,도막두께μm,10,34.6
P-3006,도막두께μm,11,33.7
P-3006,도막두께μm,12,38.6
P-3006,도막두께μm,13,37.5
P-3006,도막두께μm,14,36.3
P-3006,도막두께μm,15,38.4
P-3006,도막두께μm,16,38.1
P-3006,도막두께μm,17,37.1
P-3006,도막두께μm,18,36.7
P-3006,도막두께μm,19,37.3
P-3006,도막두께μm,20,35.8
P-3006,도막두께μm,21,33.9
P-3006,도막두께μm,22,35.9
P-3006,도막두께μm,23,34.0
P-3006,도막두께μm,24,34.5
P-3006,도막두께μm,25,38.5
P-3006,도막두께μm,26,35.0
P-3006,도막두께μm,27,37.8
P-3006,도막두께μm,28,35.1
P-3006,도막두께μm,29,35.2
P-3006,도막두께μm,30,39.7
P-3007,도막두께μm,1,29.0
P-3007,도막두께μm,2,28.3
P-3007,도막두께μm,3,28.1
P-3007,도막두께μm,4,25.4
P-3007,도막두께μm,5,27.7
P-3007,도막두께μm,6,24.8
P-3007,도막두께μm,7,28.5
P-3007,도막두께μm,8,28.8
P-3007,도막두께μm,9,26.1
P-3007,도막두께μm,10,27.8
P-3007,도막두께μm,11,26.3
P-3007,도막두께μm,12,26.4
P-3007,도막두께μm,13,25.2
P-3007,도막두께μm,14,26.8
P-3007,도막두께μm,15,26.1
P-3007,도막두께μm,16,27.9
P-3007,도막두께μm,17,24.7
P-3007,도막두께μm,18,22.5
P-3007,도막두께μm,19,24.8
P-3007,도막두께μm,20,28.8
P-3007,도막두께μm,21,25.4
P-3007,도막두께μm,22,25.8
P-3007,도막두께μm,23,27.1
P-3007,도막두께μm,24,28.7
P-3007,도막두께μm,25,26.5
P-3007,도막두께μm,26,27.2
P-3007,도막두께μm,27,25.3
P-3007,도막두께μm,28,27.2
P-3007,도막두께μm,29,28.0
P-3007,도막두께μm,30,26.5
P-3008,도막두께μm,1,34.2
P-3008,도막두께μm,2,31.7
P-3008,도막두께μm,3,31.1
P-3008,도막두께μm,4,31.9
P-3008,도막두께μm,5,32.1
P-3008,도막두께μm,6,31.2
P-3008,도막두께μm,7,31.9
P-3008,도막두께μm,8,32.0
P-3008,도막두께μm,9,32.6
P-3008,도막두께μm,10,30.1
P-3008,도막두께μm,11,32.3
P-3008,도막두께μm,12,30.8
P-3008,도막두께μm,13,30.5
P-3008,도막두께μm,14,30.7
P-3008,도막두께μm,15,31.5
P-3008,도막두께μm,16,32.8
P-3008,도막두께μm,17,31.5
P-3008,도막두께μm,18,30.8
P-3008,도막두께μm,19,34.2
P-3008,도막두께μm,20,33.3
P-3008,도막두께μm,21,31.6
P-3008,도막두께μm,22,32.8
P-3008,도막두께μm,23,33.6
P-3008,도막두께μm,24,31.4
P-3008,도막두께μm,25,33.4
P-3008,도막두께μm,26,33.2
P-3008,도막두께μm,27,30.8
P-3008,도막두께μm,28,31.2
P-3008,도막두께μm,29,32.0
P-3008,도막두께μm,30,30.3
P-3009,도막두께μm,1,22.9
P-3009,도막두께μm,2,21.6
P-3009,도막두께μm,3,22.1
P-3009,도막두께μm,4,22.2
P-3009,도막두께μm,5,21.8
P-3009,도막두께μm,6,24.2
P-3009,도막두께μm,7,21.1
P-3009,도막두께μm,8,24.9
P-3009,도막두께μm,9,24.1
P-3009,도막두께μm,10,21.4
P-3009,도막두께μm,11,22.6
P-3009,도막두께μm,12,21.9
P-3009,도막두께μm,13,20.7
P-3009,도막두께μm,14,22.4
P-3009,도막두께μm,15,22.2
P-3009,도막두께μm,16,22.6
P-3009,도막두께μm,17,21.1
P-3009,도막두께μm,18,22.9
P-3009,도막두께μm,19,20.4
P-3009,도막두께μm,20,23.7
P-3009,도막두께μm,21,22.4
P-3009,도막두께μm,22,20.9
P-3009,도막두께μm,23,20.5
P-3009,도막두께μm,24,21.4
P-3009,도막두께μm,25,22.4
P-3009,도막두께μm,26,23.2
P-3009,도막두께μm,27,21.4
P-3009,도막두께μm,28,22.4
P-3009,도막두께μm,29,23.4
P-3009,도막두께μm,30,22.5
P-3010,도막두께μm,1,24.5
P-3010,도막두께μm,2,24.6
P-3010,도막두께μm,3,26.5
P-3010,도막두께μm,4,24.7
P-3010,도막두께μm,5,25.0
P-3010,도막두께μm,6,23.7
P-3010,도막두께μm,7,22.3
P-3010,도막두께μm,8,23.6
P-3010,도막두께μm,9,23.8
P-3010,도막두께μm,10,23.3
P-3010,도막두께μm,11,26.0
P-3010,도막두께μm,12,24.0
P-3010,도막두께μm,13,22.6
P-3010,도막두께μm,14,26.8
P-3010,도막두께μm,15,24.3
P-3010,도막두께μm,16,25.7
P-3010,도막두께μm,17,22.4
P-3010,도막두께μm,18,26.7
P-3010,도막두께μm,19,25.1
P-3010,도막두께μm,20,25.3
P-3010,도막두께μm,21,25.5
P-3010,도막두께μm,22,24.2
P-3010,도막두께μm,23,27.0
P-3010,도막두께μm,24,23.1
P-3010,도막두께μm,25,23.7
P-3010,도막두께μm,26,23.7
P-3010,도막두께μm,27,22.1
P-3010,도막두께μm,28,24.6
P-3010,도막두께μm,29,26.4
P-3010,도막두께μm,30,24.8
P-3011,도막두께μm,1,21.6
P-3011,도막두께μm,2,20.6
P-3011,도막두께μm,3,21.7
P-3011,도막두께μm,4,20.5
P-3011,도막두께μm,5,20.6
P-3011,도막두께μm,6,21.5
P-3011,도막두께μm,7,21.5
P-3011,도막두께μm,8,20.1
P-3011,도막두께μm,9,22.3
P-3011,도막두께μm,10,20.8
P-3011,도막두께μm,11,21.5
P-3011,도막두께μm,12,20.6
P-3011,도막두께μm,13,21.5
P-3011,도막두께μm,14,22.5
P-3011,도막두께μm,15,20.5
P-3011,도막두께μm,16,20.7
P-3011,도막두께μm,17,21.3
P-3011,도막두께μm,18,20.8
P-3011,도막두께μm,19,21.0
P-3011,도막두께μm,20,21.7
P-3011,도막두께μm,21,21.3
P-3011,도막두께μm,22,19.9
P-3011,도막두께μm,23,20.7
P-3011,도막두께μm,24,21.0
P-3011,도막두께μm,25,21.8
P-3011,도막두께μm,26,19.9
P-3011,도막두께μm,27,20.5
P-3011,도막두께μm,28,21.4
P-3011,도막두께μm,29,21.4
P-3011,도막두께μm,30,20.2
P-3012,도막두께μm,1,23.6
P-3012,도막두께μm,2,24.2
P-3012,도막두께μm,3,23.6
P-3012,도막두께μm,4,23.7
P-3012,도막두께μm,5,22.8
P-3012,도막두께μm,6,25.2
P-3012,도막두께μm,7,25.8
P-3012,도막두께μm,8,22.1
P-3012,도막두께μm,9,26.9
P-3012,도막두께μm,10,23.7
P-3012,도막두께μm,11,23.6
P-3012,도막두께μm,12,25.5
P-3012,도막두께μm,13,25.5
P-3012,도막두께μm,14,21.2
P-3012,도막두께μm,15,23.3
P-3012,도막두께μm,16,24.4
P-3012,도막두께μm,17,25.5
P-3012,도막두께μm,18,23.6
P-3012,도막두께μm,19,22.1
P-3012,도막두께μm,20,25.0
P-3012,도막두께μm,21,24.8
P-3012,도막두께μm,22,24.0
P-3012,도막두께μm,23,24.6
P-3012,도막두께μm,24,25.8
P-3012,도막두께μm,25,21.4
P-3012,도막두께μm,26,24.5
P-3012,도막두께μm,27,25.2
P-3012,도막두께μm,28,24.2
P-3012,도막두께μm,29,24.5
P-3012,도막두께μm,30,21.2
P-3013,도막두께μm,1,27.8
P-3013,도막두께μm,2,28.0
P-3013,도막두께μm,3,27.3
P-3013,도막두께μm,4,29.8
P-3013,도막두께μm,5,28.8
P-3013,도막두께μm,6,29.8
P-3013,도막두께μm,7,28.6
P-3013,도막두께μm,8,27.6
P-3013,도막두께μm,9,28.4
P-3013,도막두께μm,10,28.8
P-3013,도막두께μm,11,27.8
P-3013,도막두께μm,12,27.3
P-3013,도막두께μm,13,29.5
P-3013,도막두께μm,14,30.2
P-3013,도막두께μm,15,28.4
P-3013,도막두께μm,16,28.6
P-3013,도막두께μm,17,28.3
P-3013,도막두께μm,18,29.2
P-3013,도막두께μm,19,28.7
P-3013,도막두께μm,20,26.6
P-3013,도막두께μm,21,29.1
P-3013,도막두께μm,22,29.0
P-3013,도막두께μm,23,28.6
P-3013,도막두께μm,24,30.9
P-3013,도막두께μm,25,29.0
P-3013,도막두께μm,26,29.3
P-3013,도막두께μm,27,26.3
P-3013,도막두께μm,28,29.4
P-3013,도막두께μm,29,28.3
P-3013,도막두께μm,30,27.9
P-3014,도막두께μm,1,17.2
P-3014,도막두께μm,2,20.1
P-3014,도막두께μm,3,18.0
P-3014,도막두께μm,4,18.2
P-3014,도막두께μm,5,19.9
P-3014,도막두께μm,6,19.5
P-3014,도막두께μm,7,20.1
P-3014,도막두께μm,8,19.3
P-3014,도막두께μm,9,17.5
P-3014,도막두께μm,10,17.2
P-3014,도막두께μm,11,16.0
P-3014,도막두께μm,12,18.9
P-3014,도막두께μm,13,16.6
P-3014,도막두께μm,14,19.6
P-3014,도막두께μm,15,16.6
P-3014,도막두께μm,16,16.2
P-3014,도막두께μm,17,19.9
P-3014,도막두께μm,18,16.7
P-3014,도막두께μm,19,19.3
P-3014,도막두께μm,20,18.1
P-3014,도막두께μm,21,16.8
P-3014,도막두께μm,22,17.0
P-3014,도막두께μm,23,15.7
P-3014,도막두께μm,24,15.7
P-3014,도막두께μm,25,17.8
P-3014,도막두께μm,26,15.9
P-3014,도막두께μm,27,17.9
P-3014,도막두께μm,28,16.4
P-3014,도막두께μm,29,16.7
P-3014,도막두께μm,30,16.2
P-3015,도막두께μm,1,22.2
P-3015,도막두께μm,2,22.9
P-3015,도막두께μm,3,24.4
P-3015,도막두께μm,4,24.3
P-3015,도막두께μm,5,23.3
P-3015,도막두께μm,6,23.0
P-3015,도막두께μm,7,23.3
P-3015,도막두께μm,8,23.2
P-3015,도막두께μm,9,22.8
P-3015,도막두께μm,10,23.2
P-3015,도막두께μm,11,24.0
P-3015,도막두께μm,12,23.6
P-3015,도막두께μm,13,23.8
P-3015,도막두께μm,14,22.6
P-3015,도막두께μm,15,23.2
P-3015,도막두께μm,16,22.6
P-3015,도막두께μm,17,23.4
P-3015,도막두께μm,18,24.4
P-3015,도막두께μm,19,23.5
P-3015,도막두께μm,20,22.7
P-3015,도막두께μm,21,23.4
P-3015,도막두께μm,22,23.2
P-3015,도막두께μm,23,24.3
P-3015,도막두께μm,24,24.0
P-3015,도막두께μm,25,24.5
P-3015,도막두께μm,26,24.4
P-3015,도막두께μm,27,22.5
P-3015,도막두께μm,28,23.5
P-3015,도막두께μm,29,22.9
P-3015,도막두께μm,30,24.8
P-3016,도막두께μm,1,14.9
P-3016,도막두께μm,2,16.2
P-3016,도막두께μm,3,19.4
P-3016,도막두께μm,4,16.4
P-3016,도막두께μm,5,15.4
P-3016,도막두께μm,6,15.2
P-3016,도막두께μm,7,16.8
P-3016,도막두께μm,8,16.9
P-3016,도막두께μm,9,16.4
P-3016,도막두께μm,10,16.9
P-3016,도막두께μm,11,16.5
P-3016,도막두께μm,12,16.5
P-3016,도막두께μm,13,17.9
P-3016,도막두께μm,14,16.8
P-3016,도막두께μm,15,16.9
P-3016,도막두께μm,16,16.0
P-3016,도막두께μm,17,16.4
P-3016,도막두께μm,18,16.8
P-3016,도막두께μm,19,17.0
P-3016,도막두께μm,20,14.9
P-3016,도막두께μm,21,16.0
P-3016,도막두께μm,22,14.9
P-3016,도막두께μm,23,16.0
P-3016,도막두께μm,24,16.7
P-3016,도막두께μm,25,17.4
P-3016,도막두께μm,26,18.4
P-3016,도막두께μm,27,15.6
P-3016,도막두께μm,28,18.1
P-3016,도막두께μm,29,16.7
P-3016,도막두께μm,30,16.8
P-3017,도막두께μm,1,20.1
P-3017,도막두께μm,2,19.7
P-3017,도막두께μm,3,20.8
P-3017,도막두께μm,4,19.7
P-3017,도막두께μm,5,23.4
P-3017,도막두께μm,6,22.9
P-3017,도막두께μm,7,25.5
P-3017,도막두께μm,8,21.9
P-3017,도막두께μm,9,24.1
P-3017,도막두께μm,10,21.9
P-3017,도막두께μm,11,27.3
P-3017,도막두께μm,12,22.7
P-3017,도막두께μm,13,21.7
P-3017,도막두께μm,14,27.0
P-3017,도막두께μm,15,22.7
P-3017,도막두께μm,16,23.9
P-3017,도막두께μm,17,24.2
P-3017,도막두께μm,18,25.9
P-3017,도막두께μm,19,22.2
P-3017,도막두께μm,20,24.3
P-3017,도막두께μm,21,23.2
P-3017,도막두께μm,22,20.9
P-3017,도막두께μm,23,22.0
P-3017,도막두께μm,24,23.3
P-3017,도막두께μm,25,23.7
P-3017,도막두께μm,26,20.2
P-3017,도막두께μm,27,22.3
P-3017,도막두께μm,28,22.1
P-3017,도막두께μm,29,22.9
P-3017,도막두께μm,30,20.5
P-3018,도막두께μm,1,38.5
P-3018,도막두께μm,2,39.1
P-3018,도막두께μm,3,39.8
P-3018,도막두께μm,4,40.3
P-3018,도막두께μm,5,39.0
P-3018,도막두께μm,6,38.1
P-3018,도막두께μm,7,38.5
P-3018,도막두께μm,8,39.6
P-3018,도막두께μm,9,37.7
P-3018,도막두께μm,10,39.7
P-3018,도막두께μm,11,39.5
P-3018,도막두께μm,12,40.8
P-3018,도막두께μm,13,39.9
P-3018,도막두께μm,14,39.4
P-3018,도막두께μm,15,40.3
P-3018,도막두께μm,16,38.6
P-3018,도막두께μm,17,38.4
P-3018,도막두께μm,18,40.3
P-3018,도막두께μm,19,41.2
P-3018,도막두께μm,20,39.3
P-3018,도막두께μm,21,41.1
P-3018,도막두께μm,22,40.8
P-3018,도막두께μm,23,39.8
P-3018,도막두께μm,24,40.1
P-3018,도막두께μm,25,41.2
P-3018,도막두께μm,26,39.7
P-3018,도막두께μm,27,39.7
P-3018,도막두께μm,28,39.4
P-3018,도막두께μm,29,39.2
P-3018,도막두께μm,30,40.0
P-3019,도막두께μm,1,26.3
P-3019,도막두께μm,2,26.8
P-3019,도막두께μm,3,27.4
P-3019,도막두께μm,4,24.6
P-3019,도막두께μm,5,26.6
P-3019,도막두께μm,6,25.0
P-3019,도막두께μm,7,26.0
P-3019,도막두께μm,8,24.5
P-3019,도막두께μm,9,24.3
P-3019,도막두께μm,10,27.9
P-3019,도막두께μm,11,25.9
P-3019,도막두께μm,12,26.8
P-3019,도막두께μm,13,28.7
P-3019,도막두께μm,14,27.0
P-3019,도막두께μm,15,26.2
P-3019,도막두께μm,16,26.9
P-3019,도막두께μm,17,24.8
P-3019,도막두께μm,18,26.8
P-3019,도막두께μm,19,25.3
P-3019,도막두께μm,20,26.7
P-3019,도막두께μm,21,25.9
P-3019,도막두께μm,22,27.9
P-3019,도막두께μm,23,25.8
P-3019,도막두께μm,24,28.0
P-3019,도막두께μm,25,27.5
P-3019,도막두께μm,26,25.8
P-3019,도막두께μm,27,26.8
P-3019,도막두께μm,28,26.4
P-3019,도막두께μm,29,26.7
P-3019,도막두께μm,30,24.0
P-3020,도막두께μm,1,41.1
P-3020,도막두께μm,2,36.8
P-3020,도막두께μm,3,37.2
P-3020,도막두께μm,4,37.6
P-3020,도막두께μm,5,37.4
P-3020,도막두께μm,6,38.9
P-3020,도막두께μm,7,35.0
P-3020,도막두께μm,8,36.6
P-3020,도막두께μm,9,38.1
P-3020,도막두께μm,10,35.5
P-3020,도막두께μm,11,40.9
P-3020,도막두께μm,12,38.7
P-3020,도막두께μm,13,39.4
P-3020,도막두께μm,14,39.1
P-3020,도막두께μm,15,35.8
P-3020,도막두께μm,16,36.7
P-3020,도막두께μm,17,35.2
P-3020,도막두께μm,18,38.2
P-3020,도막두께μm,19,37.6
P-3020,도막두께μm,20,37.1
P-3020,도막두께μm,21,37.0
P-3020,도막두께μm,22,39.6
P-3020,도막두께μm,23,36.8
P-3020,도막두께μm,24,36.5
P-3020,도막두께μm,25,40.9
P-3020,도막두께μm,26,38.7
P-3020,도막두께μm,27,38.7
P-3020,도막두께μm,28,39.1
P-3020,도막두께μm,29,36.3
P-3020,도막두께μm,30,38.3
P-3021,도막두께μm,1,25.4
P-3021,도막두께μm,2,25.3
P-3021,도막두께μm,3,23.8
P-3021,도막두께μm,4,25.4
P-3021,도막두께μm,5,23.6
P-3021,도막두께μm,6,24.1
P-3021,도막두께μm,7,24.3
P-3021,도막두께μm,8,21.7
P-3021,도막두께μm,9,25.3
P-3021,도막두께μm,10,24.3
P-3021,도막두께μm,11,24.7
P-3021,도막두께μm,12,25.2
P-3021,도막두께μm,13,23.5
P-3021,도막두께μm,14,22.4
P-3021,도막두께μm,15,24.6
P-3021,도막두께μm,16,23.1
P-3021,도막두께μm,17,23.3
P-3021,도막두께μm,18,23.8
P-3021,도막두께μm,19,24.0
P-3021,도막두께μm,20,24.6
P-3021,도막두께μm,21,25.9
P-3021,도막두께μm,22,24.1
P-3021,도막두께μm,23,25.0
P-3021,도막두께μm,24,23.7
P-3021,도막두께μm,25,23.5
P-3021,도막두께μm,26,24.9
P-3021,도막두께μm,27,23.4
P-3021,도막두께μm,28,24.9
P-3021,도막두께μm,29,25.2
P-3021,도막두께μm,30,23.0
P-3022,도막두께μm,1,20.5
P-3022,도막두께μm,2,21.6
P-3022,도막두께μm,3,18.0
P-3022,도막두께μm,4,19.5
P-3022,도막두께μm,5,20.6
P-3022,도막두께μm,6,21.1
P-3022,도막두께μm,7,20.8
P-3022,도막두께μm,8,20.3
P-3022,도막두께μm,9,21.5
P-3022,도막두께μm,10,23.5
P-3022,도막두께μm,11,24.8
P-3022,도막두께μm,12,23.2
P-3022,도막두께μm,13,21.1
P-3022,도막두께μm,14,21.2
P-3022,도막두께μm,15,22.2
P-3022,도막두께μm,16,22.3
P-3022,도막두께μm,17,24.7
P-3022,도막두께μm,18,20.2
P-3022,도막두께μm,19,21.2
P-3022,도막두께μm,20,26.6
P-3022,도막두께μm,21,21.2
P-3022,도막두께μm,22,24.0
P-3022,도막두께μm,23,20.1
P-3022,도막두께μm,24,18.8
P-3022,도막두께μm,25,21.7
P-3022,도막두께μm,26,21.6
P-3022,도막두께μm,27,22.9
P-3022,도막두께μm,28,22.1
P-3022,도막두께μm,29,22.1
P-3022,도막두께μm,30,19.8
P-3023,도막두께μm,1,19.0
P-3023,도막두께μm,2,18.7
P-3023,도막두께μm,3,18.3
P-3023,도막두께μm,4,16.8
P-3023,도막두께μm,5,20.1
P-3023,도막두께μm,6,20.1
P-3023,도막두께μm,7,18.2
P-3023,도막두께μm,8,18.5
P-3023,도막두께μm,9,17.3
P-3023,도막두께μm,10,16.6
P-3023,도막두께μm,11,16.9
P-3023,도막두께μm,12,16.5
P-3023,도막두께μm,13,18.0
P-3023,도막두께μm,14,17.4
P-3023,도막두께μm,15,16.8
P-3023,도막두께μm,16,15.9
P-3023,도막두께μm,17,20.6
P-3023,도막두께μm,18,18.4
P-3023,도막두께μm,19,18.8
P-3023,도막두께μm,20,17.1
P-3023,도막두께μm,21,17.9
P-3023,도막두께μm,22,16.6
P-3023,도막두께μm,23,18.5
P-3023,도막두께μm,24,18.3
P-3023,도막두께μm,25,18.8
P-3023,도막두께μm,26,17.8
P-3023,도막두께μm,27,18.3
P-3023,도막두께μm,28,19.0
P-3023,도막두께μm,29,16.6
P-3023,도막두께μm,30,16.3
P-3024,도막두께μm,1,15.4
P-3024,도막두께μm,2,12.8
P-3024,도막두께μm,3,12.0
P-3024,도막두께μm,4,13.5
P-3024,도막두께μm,5,16.5
P-3024,도막두께μm,6,17.8
P-3024,도막두께μm,7,15.9
P-3024,도막두께μm,8,15.7
P-3024,도막두께μm,9,15.2
P-3024,도막두께μm,10,10.5
P-3024,도막두께μm,11,12.8
P-3024,도막두께μm,12,17.7
P-3024,도막두께μm,13,13.3
P-3024,도막두께μm,14,13.4
P-3024,도막두께μm,15,13.6
P-3024,도막두께μm,16,14.6
P-3024,도막두께μm,17,14.4
P-3024,도막두께μm,18,16.5
P-3024,도막두께μm,19,14.4
P-3024,도막두께μm,20,15.9
P-3024,도막두께μm,21,16.3
P-3024,도막두께μm,22,14.0
P-3024,도막두께μm,23,14.6
P-3024,도막두께μm,24,12.4
P-3024,도막두께μm,25,15.0
P-3024,도막두께μm,26,14.2
P-3024,도막두께μm,27,14.8
P-3024,도막두께μm,28,14.7
P-3024,도막두께μm,29,14.2
P-3024,도막두께μm,30,16.1
P-3025,도막두께μm,1,32.4
P-3025,도막두께μm,2,31.9
P-3025,도막두께μm,3,32.6
P-3025,도막두께μm,4,32.6
P-3025,도막두께μm,5,32.2
P-3025,도막두께μm,6,32.5
P-3025,도막두께μm,7,31.1
P-3025,도막두께μm,8,31.5
P-3025,도막두께μm,9,33.3
P-3025,도막두께μm,10,33.9
P-3025,도막두께μm,11,34.6
P-3025,도막두께μm,12,34.5
P-3025,도막두께μm,13,32.2
P-3025,도막두께μm,14,33.2
P-3025,도막두께μm,15,34.0
P-3025,도막두께μm,16,32.8
P-3025,도막두께μm,17,33.5
P-3025,도막두께μm,18,33.5
P-3025,도막두께μm,19,33.9
P-3025,도막두께μm,20,33.9
P-3025,도막두께μm,21,33.5
P-3025,도막두께μm,22,33.7
P-3025,도막두께μm,23,33.3
P-3025,도막두께μm,24,33.7
P-3025,도막두께μm,25,33.5
P-3025,도막두께μm,26,32.9
P-3025,도막두께μm,27,33.8
P-3025,도막두께μm,28,32.7
P-3025,도막두께μm,29,34.1
P-3025,도막두께μm,30,33.0
P-3026,도막두께μm,1,20.4
P-3026,도막두께μm,2,20.0
P-3026,도막두께μm,3,20.5
P-3026,도막두께μm,4,17.6
P-3026,도막두께μm,5,21.4
P-3026,도막두께μm,6,21.3
P-3026,도막두께μm,7,21.9
P-3026,도막두께μm,8,21.0
P-3026,도막두께μm,9,20.4
P-3026,도막두께μm,10,19.3
P-3026,도막두께μm,11,18.3
P-3026,도막두께μm,12,19.8
P-3026,도막두께μm,13,16.9
P-3026,도막두께μm,14,16.2
P-3026,도막두께μm,15,20.4
P-3026,도막두께μm,16,19.6
P-3026,도막두께μm,17,20.8
P-3026,도막두께μm,18,18.9
P-3026,도막두께μm,19,22.2
P-3026,도막두께μm,20,19.7
P-3026,도막두께μm,21,17.2
P-3026,도막두께μm,22,20.2
P-3026,도막두께μm,23,18.2
P-3026,도막두께μm,24,19.3
P-3026,도막두께μm,25,16.6
