customer_id,tenure_months,avg_gb,churn_yn
C050,24,6.4,False
C387,18,5.8,False
C231,25,7.1,False
C280,46,4.0,True
C302,37,5.0,False
C321,63,5.7,False
C413,62,5.0,False
C119,71,6.0,False
C150,53,4.0,True
C202,47,5.7,False
C316,69,4.6,False
C095,51,5.8,False
C309,62,4.9,True
C058,48,3.2,True
C129,67,2.7,True
C390,31,6.3,False
C491,29,6.3,False
C185,62,4.8,False
C257,62,5.3,False
C401,40,5.8,False
C409,56,3.0,True
C435,27,6.2,False
C479,20,6.6,False
C106,46,6.1,False
C386,14,5.8,False
C170,17,6.9,False
C200,50,6.1,True
C228,54,4.1,True
C294,19,6.7,False
C326,16,7.0,False
C011,25,4.3,True
C139,36,5.3,False
C145,49,4.5,False
C160,13,7.1,False
C482,41,6.0,False
C484,37,3.7,True
C136,68,5.5,False
C303,38,5.1,False
C368,39,6.6,False
C122,45,5.9,False
C466,45,5.0,False
C035,48,4.9,False
C047,62,6.7,False
C312,53,4.8,True
C094,70,5.8,False
C134,70,4.8,True
C149,47,5.9,False
C393,58,5.5,False
C472,57,5.3,False
C109,30,12.2,True
C215,45,12.9,False
C380,6,20.5,False
C187,14,15.2,False
C335,37,15.0,False
C464,28,16.7,False
C043,8,19.6,False
C374,70,14.7,False
C026,34,16.6,False
C101,30,15.7,False
C110,38,16.4,False
C225,55,12.9,True
C278,59,11.2,True
C498,16,16.4,False
C126,6,19.0,False
C232,46,10.8,True
C359,69,12.9,False
C450,66,13.9,False
C018,22,14.4,False
C089,57,13.4,False
C128,44,9.6,True
C158,39,13.2,False
C379,59,13.8,False
C416,17,15.0,False
C497,67,17.0,False
C020,63,13.0,False
C021,40,14.3,False
C152,16,16.5,False
C191,29,16.0,False
C247,23,16.7,False
C310,44,14.9,False
C030,59,15.3,False
C067,9,20.6,False
C100,43,16.6,False
C184,39,15.9,False
C209,61,14.6,False
C213,7,19.3,False
C240,60,15.8,False
C391,67,14.1,False
C438,18,17.3,False
C460,8,17.5,False
C028,8,19.5,False
C155,36,15.1,False
C366,66,15.5,False
C398,22,15.8,False
C012,66,15.6,False
C284,42,15.2,False
C286,68,15.6,False
C196,28,17.7,False
C318,66,14.6,False
C331,59,15.4,False
C059,61,12.2,True
C271,23,17.1,False
C087,42,14.8,False
C245,61,12.1,False
C274,58,14.8,False
C364,50,12.7,False
C373,31,18.3,False
C465,12,17.8,False
C057,50,16.1,False
C151,32,16.9,True
C490,43,14.6,False
C085,42,16.8,False
C297,12,17.2,False
C354,70,13.2,False
C469,19,17.4,False
C002,30,15.4,False
C061,49,13.0,True
C083,7,17.0,False
C172,58,14.7,False
C290,19,17.2,False
C437,47,12.8,False
C444,25,18.8,False
C048,24,16.2,False
C264,14,16.9,False
C207,42,11.6,True
C246,35,14.6,False
C295,36,9.7,True
C363,50,15.5,False
C496,39,14.7,False
C161,21,16.6,False
C181,8,19.4,False
C275,10,19.8,False
C138,24,17.4,False
C315,7,19.9,False
C434,60,15.6,False
C032,42,12.4,True
C219,44,14.0,False
C429,32,16.5,False
C148,25,16.3,False
C322,19,15.4,False
C332,29,16.5,False
C070,64,14.4,False
C099,67,14.5,False
C419,36,15.9,False
C137,9,18.4,False
C182,7,18.1,False
C441,36,15.2,False
C459,41,14.1,False
C467,12,17.3,False
C045,60,15.4,False
C144,15,18.0,False
C036,55,13.7,False
C104,16,17.0,False
C140,69,14.5,False
C244,33,16.9,False
C307,68,15.2,False
C392,67,15.4,False
C078,26,14.0,False
C300,36,15.4,False
C403,9,18.3,False
C369,47,14.6,False
C432,8,20.6,False
C143,16,18.3,False
C288,60,14.7,False
C428,55,13.0,False
C009,31,18.1,False
C081,23,16.3,False
C255,67,15.5,False
C041,46,15.1,False
C051,26,18.3,False
C055,26,16.8,False
C075,20,17.0,False
C088,48,14.1,False
C177,46,14.8,False
C249,65,15.6,False
C340,6,17.7,False
C372,67,15.4,False
C218,70,14.7,False
C229,31,13.8,True
C336,49,15.2,False
C454,64,15.4,False
C475,44,14.8,False
C086,51,14.5,False
C313,70,14.3,False
C190,48,14.5,False
C296,30,14.7,False
C217,22,16.7,False
C256,53,16.9,False
C079,30,17.8,False
C163,69,15.0,False
C226,55,16.3,False
C346,32,11.1,True
C183,35,17.3,False
C266,7,18.0,False
C407,35,15.2,False
C499,17,15.8,False
C233,71,15.5,False
C019,17,16.6,False
C165,19,16.7,False
C458,33,16.9,False
C056,39,15.5,False
C327,60,17.1,False
C039,8,19.0,False
C052,47,15.6,False
C306,55,15.2,False
C080,32,15.3,False
C130,55,7.4,True
C236,16,18.3,False
C344,34,16.4,False
C355,35,17.6,False
C470,46,13.3,False
C486,29,15.7,True
C063,41,13.8,False
C277,16,18.1,False
C395,9,19.7,False
C406,12,16.9,False
C013,12,18.1,False
C064,16,11.8,True
C171,53,10.2,True
C194,24,15.5,True
C377,14,18.3,False
C430,38,15.9,False
C223,62,14.9,False
C342,53,14.9,False
C091,6,18.0,False
C157,66,15.4,False
C198,59,15.1,False
C426,52,13.1,False
C053,50,13.9,False
C082,9,18.8,False
C452,25,17.1,False
C204,41,15.4,False
C224,48,13.4,True
C260,24,14.3,False
C350,17,18.5,False
C008,28,18.0,False
C169,17,16.0,False
C220,36,16.1,False
C227,16,17.4,False
C263,48,15.1,False
C362,13,16.9,False
C383,61,15.9,False
C488,29,17.7,False
C006,33,17.4,False
C127,40,11.4,True
C222,35,9.2,True
C333,6,21.3,False
C420,34,16.9,False
C375,53,48.7,False
C448,61,56.2,False
C243,19,60.9,False
C305,58,49.6,False
C206,69,54.8,False
C477,56,57.5,False
C090,21,57.6,False
C108,23,54.6,False
C115,9,73.8,False
C252,54,52.3,False
C291,32,66.1,False
C298,62,56.1,False
C378,15,65.3,False
C054,21,57.8,False
C175,65,54.5,False
C425,56,52.2,False
C446,40,48.5,False
C324,67,48.7,False
C400,29,57.8,False
C098,36,60.0,False
C103,41,54.6,False
C253,34,57.1,False
C007,6,66.5,False
C216,69,50.4,False
C258,43,52.6,False
C480,56,51.3,False
C017,57,53.0,False
C292,27,61.0,False
C338,24,54.9,False
C178,38,56.3,False
C328,57,46.5,False
C360,64,50.1,False
C414,67,52.2,False
C495,44,48.7,False
C208,30,67.5,False
C164,38,54.4,False
C376,27,58.3,False
C447,50,55.2,False
C133,26,58.3,False
C265,45,47.7,False
C279,13,58.8,False
C353,68,52.8,False
C388,28,63.0,False
C397,63,56.7,False
C016,35,61.3,False
C251,49,48.6,True
C259,49,57.9,False
C471,17,60.3,False
C029,30,51.5,False
C153,31,67.4,False
C173,66,46.8,False
C010,24,58.3,False
C076,29,60.4,False
C092,69,33.0,True
C117,33,65.5,False
C241,31,55.3,False
C339,37,50.9,False
C234,14,55.5,False
C276,41,41.7,True
C361,40,41.1,True
C415,32,55.3,False
C005,20,58.2,False
C317,18,65.6,False
C370,53,48.8,False
C442,56,59.1,False
C042,7,66.9,False
C356,40,48.4,False
C142,35,58.4,False
C192,23,59.7,False
C421,55,48.0,False
C457,54,52.5,False
C084,61,53.4,False
C174,34,53.6,False
C205,59,47.6,False
C483,30,54.4,False
C189,66,53.3,False
C334,34,58.6,False
C489,31,57.0,False
C015,60,54.1,False
C261,12,54.4,False
C308,63,54.5,False
C382,24,59.7,False
C385,64,51.8,False
C394,36,53.0,False
C412,24,55.8,False
C062,58,54.8,False
C311,18,61.2,False
C347,63,51.8,False
C433,45,46.0,False
C072,47,55.1,False
C237,14,60.0,False
C033,37,44.7,False
C314,24,60.5,False
C034,16,57.7,False
C071,19,34.8,True
C365,69,47.4,False
C418,51,31.4,True
C451,69,51.4,False
C287,30,64.1,False
C439,34,64.0,False
C112,31,68.0,False
C211,19,58.3,False
C268,64,57.9,False
C270,59,52.9,False
C341,16,58.2,False
C492,13,59.1,False
C121,41,53.5,False
C141,64,59.6,False
C154,25,64.5,False
C197,63,42.1,False
C440,31,59.3,False
C478,22,52.0,False
C065,39,56.1,False
C147,48,54.8,False
C038,57,57.1,False
C281,17,60.4,False
C371,35,62.1,False
C031,12,62.1,False
C389,55,54.6,False
C323,20,60.8,False
C494,16,39.8,True
C046,49,50.0,False
C285,26,59.6,False
C337,7,68.6,False
C367,13,57.4,False
C485,63,52.3,False
C003,13,62.3,False
C004,6,73.2,False
C180,31,62.5,False
C283,48,50.8,False
C304,56,47.2,False
C001,21,62.8,False
C022,17,54.1,False
C027,16,58.0,False
C431,59,54.8,False
C066,46,51.4,False
C132,27,60.8,False
C146,56,48.4,False
C186,7,65.7,False
C319,49,54.1,False
C330,70,53.2,False
C474,40,49.4,False
C068,53,37.0,True
C105,23,46.5,False
C242,50,58.2,False
C262,41,51.2,False
C349,41,58.6,False
C096,21,59.2,False
C473,12,59.0,False
C199,57,55.1,False
C411,21,53.5,False
C462,29,57.2,False
