change_id,제품도번,변경일,변경구분,이전단가,이후단가,변경액,변경사유,승인문서번호,적용시작일,요청처
PC0077,P-3016,2025-06-21,원가상승,222,240,18,자재비 인상,,2025-06-21,내부원가
PC0078,P-3016,2025-11-27,판가인상,822,837,15,원가 상승분 반영,단가2025-0078,2025-12-11,당사
PC0079,P-3017,2025-08-01,원가상승,198,209,11,인건비 인상,,2025-08-01,내부원가
PC0080,P-3017,2025-11-25,원가상승,209,218,9,인건비 인상,,2025-11-25,공급사
PC0082,P-3017,2026-01-14,원가상승,218,241,23,외주 가공비 인상,,2026-01-14,공급사
PC0081,P-3017,2026-06-21,판가인상,508,514,6,원가 상승분 반영,단가2026-0081,2026-07-05,당사
PC0083,P-3018,2024-01-05,원가상승,322,356,34,인건비 인상,,2024-01-05,공급사
PC0084,P-3018,2024-07-26,판가인상,2523,2543,20,원가 상승분 반영,단가2024-0084,2024-08-08,당사
PC0085,P-3018,2025-10-15,원가상승,356,383,27,자재비 인상,,2025-10-15,내부원가
PC0086,P-3018,2026-06-17,원가상승,383,408,25,외주 가공비 인상,,2026-06-17,내부원가
PC0087,P-3019,2024-01-12,원가상승,343,375,32,물류비 인상,,2024-01-12,내부원가
PC0088,P-3019,2024-05-21,판가인상,327,356,29,원가 상승분 반영,단가2024-0088,2024-06-04,당사
PC0089,P-3019,2024-10-02,원가상승,375,411,36,인건비 인상,,2024-10-02,공급사
PC0090,P-3019,2025-02-09,판가인상,356,385,29,원가 상승분 반영,단가2025-0090,2025-02-23,당사
PC0091,P-3019,2025-04-14,원가상승,411,453,42,자재비 인상,,2025-04-14,내부원가
PC0092,P-3020,2025-12-08,원가상승,282,295,13,자재비 인상,,2025-12-08,내부원가
PC0093,P-3020,2026-02-17,원가상승,295,304,9,자재비 인상,,2026-02-17,공급사
PC0094,P-3020,2026-06-23,판가인상,782,790,8,원가 상승분 반영,단가2026-0094,2026-06-26,당사
PC0095,P-3021,2024-02-22,원가상승,149,164,15,물류비 인상,,2024-02-22,공급사
PC0096,P-3021,2025-09-01,원가상승,164,178,14,물류비 인상,,2025-09-01,내부원가
PC0097,P-3021,2026-02-02,판가인하,243,229,-14,고객사 VE 요청,단가2026-0097,2026-02-02,고객사
PC0098,P-3022,2025-04-04,원가상승,178,194,16,외주 가공비 인상,,2025-04-04,내부원가
PC0099,P-3022,2025-09-13,판가인상,632,646,14,원가 상승분 반영,단가2025-0099,2025-09-15,당사
PC0100,P-3022,2025-09-27,원가상승,194,204,10,자재비 인상,,2025-09-27,공급사
PC0101,P-3022,2026-04-02,판가인상,646,654,8,원가 상승분 반영,단가2026-0101,2026-04-12,당사
PC0102,P-3023,2024-02-08,원가상승,296,321,25,물류비 인상,,2024-02-08,공급사
PC0103,P-3023,2024-07-18,원가상승,321,335,14,자재비 인상,,2024-07-18,공급사
PC0104,P-3023,2025-02-16,판가인상,4147,4159,12,원가 상승분 반영,단가2025-0104,2025-03-03,당사
PC0105,P-3024,2024-08-14,원가상승,190,205,15,인건비 인상,,2024-08-14,내부원가
PC0106,P-3024,2025-02-16,판가인상,855,869,14,원가 상승분 반영,단가2025-0106,2025-02-19,당사
PC0107,P-3024,2025-05-08,원가상승,205,219,14,외주 가공비 인상,,2025-05-08,공급사
PC0108,P-3024,2025-09-17,판가인상,869,877,8,원가 상승분 반영,단가2025-0108,2025-09-22,당사
PC0109,P-3024,2026-05-11,원가상승,219,231,12,인건비 인상,,2026-05-11,내부원가
PC0110,P-3025,2024-05-19,원가상승,172,185,13,자재비 인상,,2024-05-19,내부원가
PC0111,P-3025,2025-01-07,원가상승,185,197,12,인건비 인상,,2025-01-07,공급사
PC0112,P-3025,2025-01-10,원가상승,197,212,15,인건비 인상,,2025-01-10,공급사
PC0113,P-3025,2025-07-02,판가인상,739,751,12,원가 상승분 반영,단가2025-0113,2025-07-14,당사
PC0114,P-3025,2026-02-04,원가상승,212,224,12,외주 가공비 인상,,2026-02-04,공급사
PC0115,P-3026,2024-11-24,원가상승,287,308,21,물류비 인상,,2024-11-24,내부원가
PC0116,P-3026,2025-04-07,판가인상,898,914,16,원가 상승분 반영,단가2025-0116,2025-04-20,당사
PC0117,P-3026,2025-04-24,원가상승,308,337,29,자재비 인상,,2025-04-24,공급사
PC0119,P-3026,2025-07-24,원가상승,337,370,33,자재비 인상,,2025-07-24,내부원가
PC0118,P-3026,2025-09-28,판가인상,914,931,17,원가 상승분 반영,단가2025-0118,2025-09-29,당사
PC0120,P-3026,2025-11-26,판가인상,931,954,23,원가 상승분 반영,단가2025-0120,2025-12-06,당사
PC0121,P-3027,2025-11-07,원가상승,186,204,18,자재비 인상,,2025-11-07,내부원가
PC0123,P-3027,2026-04-02,원가상승,204,212,8,외주 가공비 인상,,2026-04-02,내부원가
PC0122,P-3027,2026-05-27,판가인상,1947,1958,11,원가 상승분 반영,단가2026-0122,2026-06-01,당사
PC0124,P-3028,2024-10-10,원가상승,180,195,15,자재비 인상,,2024-10-10,내부원가
PC0126,P-3028,2025-01-21,원가상승,195,209,14,자재비 인상,,2025-01-21,공급사
PC0125,P-3028,2025-05-05,판가인상,817,825,8,원가 상승분 반영,단가2025-0125,2025-05-20,당사
PC0127,P-3028,2025-12-04,원가상승,209,229,20,자재비 인상,,2025-12-04,내부원가
PC0128,P-3029,2024-05-08,원가상승,276,293,17,인건비 인상,,2024-05-08,공급사
PC0129,P-3029,2024-09-12,판가인상,2957,2969,12,원가 상승분 반영,단가2024-0129,2024-09-23,당사
PC0130,P-3029,2025-04-03,원가상승,293,305,12,인건비 인상,,2025-04-03,공급사
PC0132,P-3029,2025-08-16,원가상승,305,321,16,자재비 인상,,2025-08-16,공급사
PC0131,P-3029,2025-10-29,판가인상,2969,2977,8,원가 상승분 반영,단가2025-0131,2025-10-30,당사
PC0133,P-3029,2026-02-20,판가인상,2977,2986,9,원가 상승분 반영,단가2026-0133,2026-03-02,당사
PC0134,P-3029,2026-06-21,원가상승,321,337,16,물류비 인상,,2026-06-21,내부원가
PC0140,P-3030,2025-04-29,판가인하,527,502,-25,물량 증가 단가 조정,단가2025-0140,2025-04-29,고객사
PC0135,P-3030,2025-07-13,원가상승,153,162,9,자재비 인상,,2025-07-13,내부원가
PC0137,P-3030,2025-11-26,원가상승,162,177,15,인건비 인상,,2025-11-26,내부원가
PC0139,P-3030,2025-12-24,원가상승,177,194,17,인건비 인상,,2025-12-24,공급사
PC0136,P-3030,2025-12-31,판가인상,505,513,8,원가 상승분 반영,단가2025-0136,2026-01-07,당사
PC0138,P-3030,2026-06-14,판가인상,513,527,14,원가 상승분 반영,단가2026-0138,2026-06-26,당사
PC0141,P-3031,2024-06-10,원가상승,156,165,9,인건비 인상,,2024-06-10,공급사
PC0142,P-3031,2024-12-22,원가상승,165,182,17,외주 가공비 인상,,2024-12-22,공급사
PC0143,P-3031,2025-05-05,판가인상,493,502,9,원가 상승분 반영,단가2025-0143,2025-05-12,당사
PC0144,P-3031,2025-07-27,원가상승,182,198,16,인건비 인상,,2025-07-27,내부원가
PC0146,P-3031,2025-07-28,원가상승,198,216,18,인건비 인상,,2025-07-28,내부원가
PC0145,P-3031,2026-01-23,판가인상,502,515,13,원가 상승분 반영,단가2026-0145,2026-02-09,당사
PC0147,P-3031,2026-02-18,판가인상,515,532,17,원가 상승분 반영,단가2026-0147,2026-03-02,당사
PC0148,P-3032,2024-03-08,원가상승,135,143,8,외주 가공비 인상,,2024-03-08,내부원가
PC0150,P-3032,2024-04-13,원가상승,143,151,8,물류비 인상,,2024-04-13,내부원가
PC0149,P-3032,2024-08-14,판가인상,807,815,8,원가 상승분 반영,단가2024-0149,2024-09-02,당사
PC0151,P-3032,2024-10-10,판가인상,815,820,5,원가 상승분 반영,단가2024-0151,2024-10-17,당사
PC0152,P-3032,2025-04-06,원가상승,151,156,5,외주 가공비 인상,,2025-04-06,내부원가
PC0153,P-3032,2025-10-28,판가인상,820,824,4,원가 상승분 반영,단가2025-0153,2025-11-04,당사
PC0154,P-3032,2025-10-29,원가상승,156,166,10,자재비 인상,,2025-10-29,내부원가
PC0155,P-3033,2024-08-30,원가상승,144,158,14,자재비 인상,,2024-08-30,공급사
PC0156,P-3033,2025-03-28,판가인상,3759,3767,8,원가 상승분 반영,단가2025-0156,2025-03-31,당사
PC0157,P-3033,2025-12-31,원가상승,158,172,14,외주 가공비 인상,,2025-12-31,내부원가
PC0158,P-3033,2026-04-22,원가상승,172,187,15,인건비 인상,,2026-04-22,내부원가
PC0159,P-3034,2024-07-31,원가상승,330,340,10,물류비 인상,,2024-07-31,내부원가
PC0160,P-3034,2025-01-15,판가인상,797,803,6,원가 상승분 반영,단가2025-0160,2025-01-30,당사
PC0161,P-3034,2025-07-20,원가상승,340,375,35,인건비 인상,,2025-07-20,내부원가
PC0162,P-3035,2024-11-13,원가상승,326,344,18,외주 가공비 인상,,2024-11-13,내부원가
PC0163,P-3035,2025-03-23,판가인상,284,300,16,원가 상승분 반영,단가2025-0163,2025-04-09,당사
PC0164,P-3035,2025-04-22,원가상승,344,357,13,자재비 인상,,2025-04-22,내부원가
PC0165,P-3035,2025-09-22,판가인상,300,311,11,원가 상승분 반영,단가2025-0165,2025-10-10,당사
PC0166,P-3035,2025-12-11,원가상승,357,376,19,물류비 인상,,2025-12-11,공급사
PC0167,P-3035,2026-02-16,원가상승,376,405,29,자재비 인상,,2026-02-16,내부원가
